* IP * - 127.0.0.1 10/16/2012 6:35:17 PM
* IP * - 127.0.0.1 - 2/6/2013 12:52:18 AM
* IP * - 127.0.0.1 - 2/6/2013 1:26:56 AM
* IP * - 127.0.0.1 - 2/6/2013 1:31:32 AM
* IP * - 127.0.0.1 - 2/6/2013 1:41:05 AM
* IP * - 127.0.0.1 - 2/6/2013 2:11:26 AM
* IP * - 127.0.0.1 - 2/6/2013 3:03:29 AM
* IP * - 127.0.0.1 - 2/6/2013 3:14:13 AM
* IP * - 127.0.0.1 - 2/6/2013 3:17:32 AM
* IP * - 127.0.0.1 - 2/6/2013 3:50:17 AM
* IP * - 127.0.0.1 - 2/6/2013 4:27:18 AM
* IP * - 127.0.0.1 - 2/6/2013 4:29:50 AM
* IP * - 127.0.0.1 - 2/6/2013 4:35:17 AM
* IP * - 127.0.0.1 - 2/6/2013 5:23:45 AM
* IP * - 127.0.0.1 - 2/6/2013 5:30:52 AM
* IP * - 127.0.0.1 - 2/6/2013 5:57:22 AM
* IP * - 127.0.0.1 - 2/6/2013 5:59:01 AM
* IP * - 127.0.0.1 - 2/6/2013 6:30:00 AM
* IP * - 127.0.0.1 - 2/6/2013 6:45:36 AM
